date,1. open,2. high,3. low,4. close,5. volume
2025-02-20 10:30:00,441.7297,442.1091,440.7413,440.966,79716.0
2025-02-20 10:15:00,441.9793,442.3288,441.63,441.6798,62517.0
2025-02-20 10:00:00,442.7382,442.7781,441.56,441.9893,149269.0
2025-02-20 09:45:00,443.6168,443.7966,442.7182,442.7182,153836.0
2025-02-20 09:30:00,444.5954,444.8849,443.5769,443.5769,173746.0
2025-02-20 09:15:00,444.6752,444.805,444.5754,444.5754,5387.0
2025-02-20 09:00:00,444.6253,444.7801,444.6053,444.6653,1371.0
2025-02-20 08:45:00,444.7751,444.7951,444.4556,444.5654,721.0
2025-02-20 08:30:00,444.81,444.81,444.5355,444.7451,2646.0
2025-02-20 08:15:00,444.5954,445.5739,444.5954,445.5739,321.0
2025-02-20 08:00:00,444.825,445.9932,444.5345,444.6053,1666.0
2025-02-20 07:45:00,444.805,444.805,444.7252,444.7252,101.0
2025-02-20 07:30:00,444.6553,444.855,444.6553,444.855,663.0
2025-02-20 07:15:00,444.6553,444.6553,444.6553,444.6553,86.0
2025-02-20 07:00:00,445.0347,445.5739,444.5854,444.6253,8403.0
2025-02-20 06:45:00,445.0746,445.2244,444.6253,444.6253,11001.0
2025-02-20 06:30:00,445.2544,445.2544,445.0147,445.1246,592.0
2025-02-20 06:15:00,445.3243,445.3342,445.3243,445.3342,301.0
2025-02-20 06:00:00,445.484,445.484,445.4441,445.4441,317.0
2025-02-20 05:45:00,445.5839,445.5839,445.5339,445.5339,95.0
2025-02-20 05:15:00,445.5739,445.5739,445.5739,445.5739,1.0
2025-02-20 05:00:00,445.504,445.5938,445.504,445.514,83.0
2025-02-20 04:45:00,445.524,445.524,445.4541,445.4541,166.0
2025-02-20 04:30:00,445.4241,445.514,445.4241,445.514,37.0
2025-02-20 04:15:00,445.524,445.5439,445.524,445.5439,12.0
2025-02-20 04:00:00,445.3442,445.3642,445.2344,445.3243,229.0
2025-02-19 20:00:00,445.9932,445.9932,445.9932,445.9932,12630.0
2025-02-19 19:45:00,445.499,445.6887,445.499,445.6887,5.0
2025-02-19 19:30:00,445.4441,445.5439,445.3642,445.504,390.0
2025-02-19 19:15:00,445.474,445.514,445.4291,445.4341,299.0
2025-02-19 19:00:00,445.4241,445.504,445.4241,445.464,1116.0
2025-02-19 18:45:00,445.3546,445.5439,445.2843,445.5439,899.0
2025-02-19 18:30:00,445.9932,445.9932,445.4241,445.4241,12663.0
2025-02-19 18:15:00,445.5539,445.5539,445.4041,445.4351,535.0
2025-02-19 18:00:00,445.6538,445.6637,445.4351,445.4351,252.0
2025-02-19 17:45:00,446.3227,446.3227,445.6488,445.9533,10.0
2025-02-19 17:30:00,445.3243,445.6737,445.3243,445.3243,7.0
2025-02-19 17:15:00,444.9249,445.6937,444.9249,445.6937,32.0
2025-02-19 17:00:00,445.5839,446.123,445.524,445.524,165798.0
2025-02-19 16:45:00,445.519,445.5539,445.5037,445.5339,688.0
2025-02-19 16:30:00,445.4041,445.514,445.3941,445.484,1384.0
2025-02-19 16:15:00,445.4141,445.4241,445.3143,445.3941,3634.0
2025-02-19 16:00:00,445.9433,445.9932,444.2994,445.4141,46099.0
2025-02-19 15:45:00,445.6338,446.123,445.5539,445.9833,379392.0
2025-02-19 15:30:00,445.3742,445.862,445.3342,445.6438,50077.0
2025-02-19 15:15:00,445.2344,445.6138,445.1845,445.3742,114139.0
2025-02-19 15:00:00,445.4241,445.4241,444.9648,445.1945,36611.0
2025-02-19 14:45:00,445.2743,445.5189,445.1845,445.4241,33636.0
2025-02-19 14:30:00,445.4241,445.4541,445.1445,445.3142,34994.0
2025-02-19 14:15:00,444.8749,445.6038,444.865,445.4141,102851.0
2025-02-19 14:00:00,443.9763,444.8849,443.8964,444.8849,79590.0
2025-02-19 13:45:00,443.9264,444.0262,443.8865,443.9264,15169.0
2025-02-19 13:30:00,443.8765,444.0162,443.8615,443.9463,24405.0
2025-02-19 13:15:00,443.0577,443.8265,443.0377,443.8165,81077.0
2025-02-19 13:00:00,443.7466,443.8365,442.878,443.0677,111543.0
2025-02-19 12:45:00,443.537,443.9264,443.497,443.7466,31370.0
2025-02-19 12:30:00,443.6668,443.7342,443.4771,443.547,25456.0
2025-02-19 12:15:00,444.2359,444.2359,443.6119,443.6268,62929.0
2025-02-19 12:00:00,444.3058,444.4855,444.0662,444.1685,31256.0
2025-02-19 11:45:00,444.3258,444.4356,444.2259,444.3058,80787.0
2025-02-19 11:30:00,444.0462,444.3757,443.9583,444.3258,57422.0
2025-02-19 11:15:00,444.146,444.146,443.7666,444.0562,30114.0
2025-02-19 11:00:00,443.3672,444.156,443.2973,444.156,48686.0
2025-02-19 10:45:00,443.8365,443.8565,443.2274,443.3473,99315.0
2025-02-19 10:30:00,443.8066,444.3058,443.6867,443.8265,92239.0
2025-02-19 10:15:00,443.9963,444.196,443.8066,443.855,36440.0
2025-02-19 10:00:00,443.8165,444.2659,443.7067,444.0063,65658.0
2025-02-19 09:45:00,443.9164,444.0961,443.517,443.8565,55183.0
2025-02-19 09:30:00,444.1061,444.1261,443.3572,443.9364,225719.0
2025-02-19 09:15:00,444.156,444.206,443.8515,444.1361,10471.0
2025-02-19 09:00:00,444.146,444.3957,444.0961,444.186,792.0
2025-02-19 08:45:00,444.0462,445.2444,444.0462,444.186,598.0
2025-02-19 08:30:00,444.2709,444.2709,443.9468,444.0562,3018.0
2025-02-19 08:15:00,444.5954,444.5954,444.1061,444.3058,5303.0
2025-02-19 08:00:00,445.5067,445.8235,444.4256,444.6253,2566.0
2025-02-19 07:45:00,444.6952,444.815,444.4755,444.4855,4359.0
2025-02-19 07:30:00,444.6153,444.6153,444.5255,444.6053,233.0
2025-02-19 07:15:00,444.6952,444.7052,444.6353,444.6353,18.0
2025-02-19 07:00:00,444.4656,444.805,444.4656,444.7551,2427.0
2025-02-19 06:45:00,444.2359,444.3358,444.166,444.3358,847.0
2025-02-19 06:30:00,444.3757,444.4356,444.2459,444.3757,1999.0
2025-02-19 06:15:00,444.6852,444.6852,444.4256,444.4256,924.0
2025-02-19 06:00:00,444.7551,444.7551,444.5754,444.7252,1372.0
2025-02-19 05:45:00,444.855,444.855,444.7152,444.7152,43.0
2025-02-19 05:30:00,445.0746,445.1146,444.865,444.865,558.0
2025-02-19 05:15:00,445.4141,445.4141,445.2144,445.2244,297.0
2025-02-19 05:00:00,445.5439,445.5539,445.464,445.464,12.0
2025-02-19 04:45:00,445.6238,445.6238,445.514,445.514,33.0
2025-02-19 04:30:00,445.6238,445.7137,445.5839,445.7137,217.0
2025-02-19 04:15:00,445.5639,445.5839,445.464,445.5839,7.0
2025-02-19 04:00:00,445.494,445.6138,445.494,445.6038,13.0
2025-02-18 20:00:00,445.2444,445.2444,445.2444,445.2444,35115.0
2025-02-18 19:45:00,445.4541,445.5937,445.4541,445.5539,828.0
2025-02-18 19:30:00,445.3937,445.5029,445.3892,445.4541,475.0
2025-02-18 19:15:00,445.3536,445.474,445.2943,445.4041,33.0
2025-02-18 19:00:00,445.3642,445.4031,445.2943,445.4031,828.0
2025-02-18 18:45:00,445.3143,445.3642,445.3143,445.3642,117.0
2025-02-18 18:30:00,445.2444,445.4141,445.2444,445.4141,35215.0
2025-02-18 18:15:00,445.2444,445.4241,445.2344,445.2344,467.0
2025-02-18 18:00:00,445.2244,445.514,445.2244,445.3842,763.0
2025-02-18 17:45:00,445.494,445.504,444.825,444.9648,58.0
2025-02-18 17:30:00,445.2594,445.4341,445.2594,445.2594,27.0
2025-02-18 17:15:00,444.4256,445.3043,444.4256,445.1246,84.0
2025-02-18 17:00:00,445.2444,445.3842,444.4256,444.865,127215.0
2025-02-18 16:45:00,445.2893,445.3043,445.1945,445.2244,1866.0
2025-02-18 16:30:00,445.3641,445.3842,445.2244,445.2693,815.0
2025-02-18 16:15:00,445.524,445.524,444.2471,445.3842,15102.0
2025-02-18 16:00:00,445.2643,445.5439,445.2244,445.524,114991.0
2025-02-18 15:45:00,444.5504,445.3243,444.4506,445.2743,341649.0
2025-02-18 15:30:00,444.2359,444.6353,444.196,444.5305,91813.0
2025-02-18 15:15:00,444.156,444.2709,443.9663,444.2459,50363.0
2025-02-18 15:00:00,444.1161,444.176,443.8765,444.1361,26489.0
2025-02-18 14:45:00,443.8994,444.2858,443.8465,444.0462,103153.0
2025-02-18 14:30:00,443.3772,443.7766,443.2873,443.7766,29059.0
2025-02-18 14:15:00,443.3572,443.6768,442.9578,443.3572,161205.0
2025-02-18 14:00:00,444.1598,444.2858,443.2774,443.3672,66092.0
2025-02-18 13:45:00,444.2559,444.4156,444.152,444.152,13028.0
2025-02-18 13:30:00,444.4965,444.5404,444.196,444.196,60542.0
2025-02-18 13:15:00,444.5854,444.6253,444.1061,444.5255,51440.0
2025-02-18 13:00:00,444.5954,444.8749,444.4656,444.4855,27952.0
2025-02-18 12:45:00,444.4557,444.7951,444.4479,444.5554,26750.0
2025-02-18 12:30:00,444.6053,444.7651,444.4057,444.4855,20565.0
2025-02-18 12:15:00,444.4755,444.5954,444.2858,444.5674,115802.0
