date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2000-03-22,24.9258953733,32.0962209899,48.1848970169,1.10364663944,23.4425805142,10.9262445757,19.1031778904,52.9171370917,13.0623655192,,90.7730901443,40.8706394778,27.1979709974,67.1657141535,44.1548481654,23.7894915494,31.2562527104,20.3147848467,27.6250516718,32.7226515374,3.2244689778,16.0349098983,,15.6402766412,5.50902140077,19.4765726105,,19.1957333496,37.4248273187,31.4974242291
2000-03-23,25.215731366,33.8769314914,45.0167888082,1.08160279229,22.7182856128,11.1002114899,19.2464517246,57.0288426192,13.0457114195,,92.2459242287,41.5641311404,27.1979709974,67.753597866,43.6952210158,23.1387151848,33.625392005,20.2802064895,26.9562887822,35.454557167,3.24835393319,15.8070453892,,16.137246717,5.68384489818,20.0654461777,,18.6804577586,36.4922476564,32.3218012583
2000-03-24,26.3402950177,33.796582359,42.5743802631,1.06154901466,23.2809075451,11.0833759821,19.473870509,58.1795338275,13.0457114195,,94.0288286465,41.7261619027,29.1797474787,70.9105334022,42.6105009429,20.8971521513,32.8368168219,20.0612102273,26.4718643814,35.3975104137,3.2368891546,15.8773739414,,16.8512841824,5.97729862599,20.0217012842,,19.2369553969,37.5059212024,32.2284755569
2000-03-27,25.6881640341,32.6825524965,47.115855577,1.06820809349,24.0116693653,10.9599155914,19.2305324097,58.6779223763,12.5599668454,,86.8196933917,41.7261619027,28.2270834135,74.5848066053,43.7258628258,20.1740673018,32.3247550147,20.0266318701,26.2060740022,32.9793619272,3.43370118702,15.542610033,,16.8512841824,5.80143451252,20.401945359,,18.1651821676,37.4653742606,32.4695669522
2000-03-28,25.7606230323,33.116872131,49.012038569,1.06491682465,24.5742912976,10.7494717436,19.3033064207,57.0801473228,12.457266564,,87.8274219757,41.479875144,27.5272869705,72.0157547817,41.580936128,20.8248436663,32.174550218,20.2456281323,26.390412491,33.058593529,3.51682083178,16.0349098983,,17.1368991685,5.76293171844,20.3582004654,,18.2957186507,36.8301388384,31.8396184676
2000-03-29,25.3983280414,32.9214282955,48.5750581264,1.04050020227,24.4966882725,10.9430800836,20.1265624203,55.7462250305,13.0124032201,,88.5250802262,44.3964288651,28.8151476513,69.9581617879,40.4165473492,20.5529637629,30.8534307554,21.2138221335,27.4364262414,33.9713415816,3.72605304101,16.510330911,,17.2568574627,5.79519081618,20.8629492373,,17.8628871543,39.7022138854,31.7385156244
2000-03-30,25.7954033514,32.3568127706,47.0144136886,0.962504784728,24.9817071797,11.4341157283,20.9657377347,53.9652188929,13.4787180113,,82.866296639,43.4242442914,30.2853082457,72.1627257098,38.9150986607,20.4633012416,29.6995848166,21.6863930151,27.462147891,32.7606827063,3.69643569633,16.316224107,,18.8073232802,5.9606487691,20.6105748513,,17.2651674687,39.8711594764,31.3029956845
2000-03-31,25.6678755146,32.3350967889,47.8961777959,1.03950516751,24.4514198411,11.0665404743,21.0225924309,56.662380451,13.0290573198,,81.6260153048,41.8039366686,30.9851046887,69.587795049,40.4165473492,20.3186842717,29.7644459788,21.5423165268,26.6347681622,33.6734307589,3.7862431286,15.9645813461,,19.6718952974,6.20740401072,20.5701949496,,17.6911286239,38.1817035664,32.080709863
2000-04-03,26.6301310105,33.7683515828,46.3355333581,1.02036988352,24.0504708778,11.751184459,20.9930279889,53.4595011007,13.6868942574,,81.7810504716,44.0723673405,31.9789332505,71.7218129254,40.0182038196,20.8971521513,31.5771447763,22.1877791942,28.6153351815,28.799102617,3.82159286257,16.7381954201,,19.5969657225,6.46144738183,21.2196383694,,17.4781480463,41.3511228536,32.5162298029
2000-04-04,26.9373571627,31.9224931361,44.0413860346,0.974445201938,24.128073903,12.1889076623,20.4244810279,53.5987567246,14.5390290245,,76.1610256762,41.8881926649,31.6084527807,71.2456271183,40.6923236389,22.1263963955,29.7781009604,22.2050683728,29.0183076919,28.0670026165,3.72032065172,17.8465734026,,19.0205843778,6.32505524406,21.4518228045,,18.3781627452,40.5469418404,31.9873841615
2000-04-05,26.4127540159,31.379593593,46.5306139129,0.997943330679,23.3197090577,11.9083158653,19.8991436359,52.8658323882,13.2205794662,,75.5331332508,41.479875144,31.0203885429,73.4854640629,39.8037111498,22.4156303353,29.6476608639,22.2223575514,29.2583764215,27.3729337849,3.74420560711,17.3177026901,,18.8419061609,6.24696814228,21.263383263,,18.5086992283,39.3643227034,31.1085671398
2000-04-06,27.0648849995,30.6195342326,48.6218774595,0.958218481114,23.364977489,11.8718389317,20.2266266854,52.6312966005,12.6987510094,,82.1686383885,42.7372338593,30.6557887155,72.1627257098,39.7730693398,21.657837413,30.0149527144,21.3233202646,28.1051891311,27.2556710142,3.97063498422,17.6524665985,,18.5882983692,6.42292441162,22.0659338102,,18.2476262622,41.3105759118,31.4507613784
2000-04-07,26.5576720123,30.2069305798,47.5528360196,1.00842946631,23.0804330635,11.6108885605,19.6580797244,54.9253497736,12.8208810738,,79.4555229701,41.5641311404,30.3617565966,72.3802426834,41.9179960376,21.4206655824,29.6476608639,21.3233202646,28.0794674815,28.2254658201,4.10247993797,17.8465734026,,18.3750372716,6.42917137977,21.8729965151,,18.240755921,41.5606153864,31.8862813183
